date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:11	114/114	---M-Z	200	added ('OK')	text/plain	date:Fri,%2017%20Nov%202023%2015:30:10%20GMT	https://wpriverthemes.com/robots.txt		(from )
22:30:16	80968/80968	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2015:30:12%20GMT	https://wpriverthemes.com/drake/simple-strings/	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/simple-strings/index.html	(from )
22:30:17	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-64957d4e-fc48eae76e7d5dcb;;;%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/images/favicon.png	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/images/favicon.png	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:18	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-64e09dae-541f209f4c704095;gz%22	https://wpriverthemes.com/drake/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-includes/css/dist/block-library/style.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:23	53435/53435	---M-Z	200	added ('OK')	text/css	etag:%22d0bb-64e09d9d-793af46e754b0c71;gz%22	https://wpriverthemes.com/drake/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.5	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities4235.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:25	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-64e09d9a-e6061246b3e9ac7d;gz%22	https://wpriverthemes.com/drake/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/plugins/contact-form-7/includes/css/styles41a3.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:26	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:27	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-64957d4e-9cf4b879138abd95;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/owl.carousel.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/owl.carousel.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:27	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-64957d4e-1d49c3e994061d4f;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/bootstrap.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/bootstrap.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:29	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-64957d4e-b27f97294f858f00;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/owl.theme.default.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/owl.theme.default.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:30	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-64957d4e-c545694fe951ec6;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/animate.min.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/animate.mine35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
22:30:31	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-64957d4e-a287dd548482c6e9;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/smooth-scrollbar.css?ver=6.3.2	C:/My%20Web%20Sites/Farid%20B/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/smooth-scrollbare35d.css	(from https://wpriverthemes.com/drake/simple-strings/)
